页码,微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数
24,7052980191,Nl52Fq4zF,司南考研教育,2023-09-26 15:28:22,💢大改！湖南科技大学  9月20号，湖南科技大学公布招生目录和参考书目。简单来说，全面限考，部分专业都有所变动，先来看看具体有哪些变动↓↓ ↓  1⃣816学科地理 参考书无变动。 限制跨考，拟招人数为：全日制 10+非全 15； 2⃣827学科化学 拟招人数为全日制19+非全5 ，限制跨考，参考书目不变； 3 ...全文,0,0,0
24,3163613683,Nl4xOaPC7,嘘柱哥,2023-09-26 14:12:19,求 sn的资料新统考333  有出的吗  2022湖南科技大学教育学考研 ,0,0,0
24,3163613683,Nl4xvwC4X,嘘柱哥,2023-09-26 14:11:36,求一份  学科数学 新大纲资料和课程  有机构整理好的吗？ 最好是sn的。别的不要  湖南科技大学教育学考研 ,0,2,0
24,2038218622,Nl2sYaQU6,湘潭台,2023-09-26 08:54:55,【教育部科技部自然资源部中共湖南省委联合印发《关于开展向万步炎同志学习活动的决定》】万步炎，男，汉族，1964年1月生，湖南华容人，中共党员，现为湖南科技大学教授、博士生导师，第十四届全国人大代表。万步炎同志从事科研工作30多年如一日，聚焦国家重大战略需求，带领团队开拓创新，勇攀科技高 ...全文,0,0,0
24,6499290871,Nl26B1T9M,anti_ti_ti_ti_ti,2023-09-26 07:59:47,湖南科技大学9月30号晚上麻将三缺一，有哪位帅哥美女来不？大概下午三四点开始，不打钱的，快来快来 ,0,2,2
24,7464410241,Nl26ka978,圆-Yuannn,2023-09-26 07:59:08,湖南科技大学 谁30号下午来打麻将啊🀄️三缺一了不打钱 ,0,4,4
24,2727296177,NkYaypVjV,君仔码头_Z,2023-09-25 21:58:34,湖南科技大学 科大可以买到专属月饼吗 ,0,0,0
24,2063019871,NkY1Iydms,衡阳县公安局,2023-09-25 21:36:48,【观摩战术……反恐宣传进高校】今】9月25日，@湘潭公安 巡特警支队受邀参加湖南科技大学反恐防暴演练活动。活动中，特警队员圆满完成了枪战术科目，全体参加民警紧握手中钢枪，立姿持枪、高跪持枪、蹲式持枪、仰卧持枪......动作规范、配合默契，运用各种战术手语进行“无声操作”，一举一动，体现出 ...全文,0,0,0
25,5614035771,NkXxzwNs1,多肉甜昕,2023-09-25 20:22:32,不错的最近  #湖南科技大学##分享照片# 湘潭·湖南科技大学雨湖校区 ,0,3,5
25,7851137403,NkX9wuIDw,寒潭202307,2023-09-25 19:23:16,#bilibili# 湖南科技大学军训团的视频2023级的小萌新们，你们的教官已经就位啦！ ,0,1,1
25,7727769904,NkWPVnFAM,湖南教育发布,2023-09-25 18:35:00,#2023湖南高校最美军训瞬间# 看耀眼的迷彩服，记录着湖南科技大学学子们热烈灿烂的青春。初晨的阳光挥洒在军装之上，夜晚的灯光照耀在青年人肩膀上，洪亮的口号响彻校园！#爱国强军##戎装展英姿##飞扬正青春# 湖南教育发布的微博视频 ,4,6,31
25,6068931106,NkK5EnTn4,动画境界线,2023-09-24 10:08:02,湖南科技大学2023级新生军训现场视频🏫#上热门# #湖南科技大学# #新生军训# #校园生活# 这是十六连齐白石艺术学院的军爷们🫡 动画境界线的微博视频 ,0,0,2
25,2737798435,NkWhPw8eY,微言教育,2023-09-25 17:11:00,#教育头条#【向万步炎同志学习】近日，教育部、科技部、自然资源部、中共湖南省委发文，开展向万步炎同志学习活动。万步炎现为现为湖南科技大学教授、博士生导师，他从事科研工作30多年如一日，聚焦国家重大战略需求，带领团队开拓创新，持续研发“海牛”系列钻机系统，从打下第一个0.7米的“中国孔” ...全文,17,4,8
25,7870408986,NkW4PnPVT,小半吃gua,2023-09-25 16:38:58,湖南科技大学考研求sn333资料 ,0,0,0
25,7870408986,NkW4KqQqg,小半吃gua,2023-09-25 16:38:46,湖南科技大学求sn333资料 ,0,1,0
25,6558811697,NkW3RqVNh,不扎手仙人球555,2023-09-25 16:36:35,有湖科大 学科英语 新大纲 新资料  出出出  湖南科技大学教育学考研 ,0,0,0
25,6558811697,NkW3u8ERS,不扎手仙人球555,2023-09-25 16:35:39,学科生物的资料  出出出  sn 湖南科技大学考研 ,0,0,0
25,6558811697,NkW3h7tb8,不扎手仙人球555,2023-09-25 16:35:08,有需要学科数学 843 新资料的吗  湖南科技大学考研 ,0,0,0
26,6558811697,NkW2Zjasp,不扎手仙人球555,2023-09-25 16:34:26,职业技术教育出大纲了  出 sn 新资料 湖南科技大学教育学考研 ,0,0,0
26,6558811697,NkW2BDxAf,不扎手仙人球555,2023-09-25 16:33:30,🈶️ 出 湖南科技大学 333考研资料的吗  湖南科技大学考研 ,0,0,0
26,6558811697,NkVXgun04,不扎手仙人球555,2023-09-25 16:20:20,🈶️求司南 学科英语的资料的吗  湖南科技大学考研 ,0,2,0
26,7741900742,NkVVlm69d,美国丑事,2023-09-25 16:15:36,湖南科技大学2024年暑期赴美带薪实习报名开启 ,3,5,17
26,7870504628,NkVRS1QDS,用户7870504628,2023-09-25 16:07:01,湖南科技大学考研  求司南刷题题库 ,0,0,0
26,7621541665,NkVOoubRz,就是一个小馋猫,2023-09-25 15:58:29,湖南科技大学 我们学校有二手群吗？ ,0,1,1
26,7798455192,NkVEvD5tB,福多多201407,2023-09-25 15:34:08,湖南科技大学考研 蹲一个湖科大845上岸的小学教育直系学长学姐，带背专业课，以及专业课的备考资料 ,0,12,1
26,5940452794,NkVB1DTN3,努力成为有钱人哈,2023-09-25 15:25:33,湖南科技大学 不是吧自行车🚲都有人偷 ,0,0,0
26,1813167792,NkVASs9cl,会计之友杂志社,2023-09-25 15:25:11,湖南科技大学 教育部、科技部、自然资源部、中共湖南省委发文，开展向万步炎同志学习活动教育部、科技部、自然资源部、中共湖南省委发文，开展向万步炎同志学习活动 ,0,1,0
26,7798455192,NkVsho7Rt,福多多201407,2023-09-25 15:04:00,湖南科技大学考研 蹲一个845上岸的小学教育的直系学长学姐 ,0,7,2
27,7078124205,NkV8t5Xuq,美羊羊吐槽的一生,2023-09-25 14:15:11,湖南科技大学俺是湘大滴，小电驴被收了，想找一个科大的学生帮忙取一下，有偿。（需要身份证和学生证，证明不是湘大的）如果这里没有，求一个科大表白墙的qq ,0,2,0
27,7872165554,NkUxtbCrp,用户7872165554,2023-09-25 12:44:01,湖南科技大学的军训活动又臭又长，从十点半搞到现在才正式开始，还在占用休息时间#湖南科技大学# 湘潭·湖南科技大学 ,0,0,2
27,2126925453,NkUrf3Dkm,湖南科技大学,2023-09-25 12:28:41,#河南大学111周年校庆# 春华秋实百十余年，桃李满枝，初心弥坚 大河泱泱峥嵘岁月，沧海桑田，再谱华章 秋风几度，笔墨一点，画出猗欤一园 巍峨嵩岳，泱泱大河，繁花玉林奏响 功不唐捐，玉汝于成 明德新民，止于至善 @湖南科技大学  祝 @河南大学 111周岁生日快乐愿两校友谊长存，携手共进！ ,2,1,8
27,5180087535,NkTwe38ju,兔牙小王,2023-09-25 10:08:13,nmd 校内的移动营业厅到底在哪？#湖南科技大学# ,0,4,0
27,7846606695,NkTd5mlma,用户7846606695,2023-09-25 09:21:04,湖南科技大学考研就湖南科技大学数学学硕数学分析高等代数，有偿 ,0,6,0
27,6991866346,NkSNE05zj,yz-k,2023-09-25 08:18:23,湖南科技大学考研收艺术学625和858真题 ,0,2,0
27,6354659866,NkPngeLBc,科大papi,2023-09-24 23:35:09,接湖南科技大学813安全系统工程一对一辅导湖南科技大学考研#安全工程考研# ,0,0,0
27,5729594350,NkPhUpxjE,Syao_witing,2023-09-24 23:21:58,湖南科技大学考研 求司南学科英语839的资料 ,0,3,0
27,7274661664,NkOUH8tmN,远慕长安寒,2023-09-24 22:24:46,湖南科技大学想问问本科生奖学金什么时候能发下来呢 ,0,0,0
27,7506416385,NkNTgjw6P,林曰恒,2023-09-24 19:48:29,湖南科技大学贵校法学专硕法本怎么样 ,0,0,0
28,5979776886,NkMEchA5s,皮陈陈陈,2023-09-24 16:38:38,湖南科技大学考研  23学科化学已上岸！出学科化学资料，全是本人一份一份整理出来的精华！踩过很多坑，想帮助有缘人少走弯路！ ,0,0,0
28,6189737081,NkM5WAtA5,九十九只河马ik,2023-09-24 15:14:15,#湖科大847#湖南科技大学考研有偿求湖科大847学校心理健康教育资料 ,0,0,0
28,6785652051,NkL5Q2cFv,咩咩养的喵,2023-09-24 12:41:14,湖南科技大学请问有没有现代教育技术上岸的学长学姐啊 想问一点问题 ,0,1,0
28,1807210584,NkKHo9Gsp,心理学考研人,2023-09-24 11:41:00,【24心理学考研院校最新院校考情变动】  湖南科技大学2024年心理健康教育业务课二参考教材有变化， 其中原《当代教育心理学》改为《发展心理学》（第3版， 林崇德）。  #决战考研# #心理学考研# #心理健康教育考研# ,0,0,0
28,5990887536,NkKcBwkxs,带你玩点高端的,2023-09-24 10:25:10,湖南科技大学2023级新生军训现场视频🏫#湖南科技大学# #新生军训# #中视频伙伴计划# 信息与电气工程学院是四连，资源环境与安全工程学院是一连，黎锦晖音乐学院是二十一连🎹 带你玩点高端的的微博视频 ,0,0,0
28,6382426362,NkJUsgcvm,whiiit,2023-09-24 09:40:27,湖南科技大学考研 出839资料 ,0,0,0
28,7000097421,NkGiTDuTi,雪山落下了星星,2023-09-24 00:29:41,24届湖南科技大学835学科语文新大纲背诵笔记 内容如图片所示。包含王文彦《语文课程与教学论》以及两本课标背诵笔记（涵盖知识点详解、十三年真题及答案、教育热点、重点课文等内容。 湖南科技大学考研 ,1,7,5
29,2142583822,NkFCCps9E,睿yrwolves,2023-09-23 22:45:31,马克思主义考研 有没有湖南科技大学马理论的交流群啊 ,0,1,0
29,6571655510,NkFrigPvy,吃喝lasa学,2023-09-23 22:17:37,湖南科技大学#研究生的日常#  生日快乐 生日简单，生活充实 湘潭·湖南科技大学 ,0,3,6
29,5650979990,NkFlgpCfI,Lindzsong,2023-09-23 22:02:46,湖南科技大学考研 出839背诵资料 ,0,0,0
29,5831119691,NkFcVDT2J,柚子言言,2023-09-23 21:42:14,湖南科技大学考研求司南统考333背诵宝典 ,0,0,0
29,6738269938,NkEAcqxYJ,格格大佐,2023-09-23 20:06:49,湖南科技大学 科大食府的云湘情搬去哪了哦多剋 ,0,0,0
29,6125001486,NkExUkVUN,自明诚熊,2023-09-23 20:01:10,湖南科技大学庄子《列御寇 》之十六  正考父一命而伛，再命而偻，三命而俯，循墙而走，孰敢不轨！如而夫者，一命而吕钜，再命而于车上儛，三命而名诸父，孰协唐许！  注释：①一命而伛（yǔ），再命而偻，三命而俯：第一次任命低着头，第二次升迁弯着腰，第三次更加俯着身子，顺着墙壁快步走。 ...全文,0,0,0
29,2112652542,NkEefa6rB,衡阳校园,2023-09-23 19:12:43,【#当军训踏步遇上最炫民族风#】近日，湖南湘潭。当军训踏步遇上最炫民族风，更符合科大宝宝气质的军训。(湖南科技大学)#湖南大学2023开学季# 湖南的百晓生的微博视频 ,0,0,0
29,2241189581,NkEa4zsED,我在湖南上学,2023-09-23 19:02:27,【#当军训踏步遇上最炫民族风#】近日，湖南湘潭。当军训踏步遇上最炫民族风，更符合科大宝宝气质的军训。(湖南科技大学)#湖南大学2023开学季# 湖南的百晓生的微博视频 ,0,0,0
29,6686947183,NkE8glFsZ,湖南的百晓生,2023-09-23 18:57:59,【#当军训踏步遇上最炫民族风#】近日，湖南湘潭。当军训踏步遇上最炫民族风，更符合科大宝宝气质的军训。(湖南科技大学)#湖南大学2023开学季##开学季# 湖南的百晓生的微博视频 ,8,14,25
30,6738269938,NkBxurbYR,格格大佐,2023-09-23 12:21:54,湖南科技大学 大家 饵丝搬哪去了 哦多剋 想吃 ,0,1,0
30,2967915193,NkBtSbIjb,小新不吃菠菜,2023-09-23 12:12:59,湖南科技大学考研 出心理健康教育专业全部资料，限制跨考报不了啦。 ,0,1,0
30,6738269938,NkBptbR1s,格格大佐,2023-09-23 12:02:08,湖南科技大学 哦多剋 饵丝搬到哪里去了 哦多剋 ,0,0,0
30,5597452756,NkAHXj1td,校园碎片,2023-09-23 10:14:56,【#湖科大军训汇演无人机闪耀夜空#】近日，湘潭。湖南科技大学大一新生军训汇演时无人机闪耀夜空，快和沙沙一起去看看吧～#三亚高校军训拉歌现场有多燃##开学季# 校园碎片的微博视频 ,1,2,8
30,6647193216,Nkz3Gk448,世界这么大还是遇见你zy,2023-09-23 06:02:58,湖南科技大学捞下这位同学，大二的 ,0,0,0
30,6647193216,Nkz2F9lLy,世界这么大还是遇见你zy,2023-09-23 06:00:26,湖南科技大学找一下这位同学 ,0,0,1
30,2240451483,Nkwi09uWa,湖南科技大学微博协会,2023-09-22 23:00:00,#湖南科技大学微博协会超话# #晚安湖科大# #湖南科技大学超话 #  晚安，湖科大！ 星光铺撒银河无际，明月皎皎，夜空璀璨。 ,0,0,0
30,7470202591,Nkw4kpzLH,我等不来柳暗花明,2023-09-22 22:26:18,湖南科技大学考研 有人有848真题吗求求了 ,0,0,1
30,1827225287,NkvHteSWq,湖南联通,2023-09-22 21:30:00,#创新 与智慧同行# 【500台无人机灯光秀 助力湖南科技大学开学典礼】作为湖南科技大学智慧校园战略合作伙伴，湘潭联通携手知云无人机，在2023级新生开学典礼上，为全校师生带来了一场震撼的视觉盛宴，祝新生扬帆远航，未来可期！（供稿人：湘潭联通 卢傲雪） 湖南联通的微博视频 ,211,170,151
30,7480218861,Nkvksezc6,Eblorate,2023-09-22 20:33:17,湖南科技大学考研诚招室友！ 御花园小区，居民用电0.588一度，两房一厅一厨一卫一阳台，1600/月，两个人平摊每个人800/月，有意向的可以私聊。 要求：①性格温和，爱干净；          ②最好也是考研，有相同的作息和生活规律。 ,0,0,1
31,6885545747,Nkv3dpHwR,栓了个大坑,2023-09-22 19:50:50,湖南科技大学#湘潭约拍#  女摄，长期蹲模特 部分样片详见主页，不收费 ,0,0,0
31,7823844118,NkuNXj8FN,LLLLeviR,2023-09-22 19:13:14,湖南科技大学有没有土木工程考研上岸的师哥师姐？ ,0,6,0
31,1826549532,Nkume6Fg7,湖南科技大学考研团,2023-09-22 18:04:55,湖南科技大学24招生简章对比往年都有所改变哦，有疑问需要解答的小伙伴们快来集合吧qun910092707~90%专业都有直系学长学姐为大家答疑解惑，助力24考研！加油 ,0,9,0
31,5627569050,NkudweKwY,小娴小娴要加油,2023-09-22 17:43:28,湖南科技大学 请问马院本科生保研要求 ,0,0,0
31,3785693225,Nku3oFuvg,猫哥北大新传考研,2023-09-22 17:18:32,新传考研 知识分享｜9-10月备考经验分享 9月过半，十月将至 从0到1手把手教你，9-10月经验分享 快来看看 #新闻传播学考研##新传考研##北大新媒体考研##北大新传考研##湖南科技大学新传考研##24新传考研##北大新传考研# ...全文,0,0,0
31,7825654279,NktX6y864,教育学言西学姐,2023-09-22 17:03:02,湖南科技大学考研  预报名20问 ,0,11,0
31,6605721388,NkmwxaOMQ,教育学洪哥,2023-09-21 22:08:20,每次当我想懈怠、负能量爆棚的时候 我就会打开学姐送给我的笔记本 她从湖南科技大学考进了厦门大学，现在是一名高校老师 这一段话，时刻激励着我！我也希望这段话可以陪伴你们❤️ ,10,8,115
31,3785693225,Nktfdo8gP,猫哥北大新传考研,2023-09-22 15:14:54,【🐱 猫哥典型作业讲解】滚雪球抽样 1⃣ 首先，我们在答研究方法的题的时候，先定性，它是定【定量研究】还是【定性研究】，以及【抽样】还分【概率抽样】与【非概率抽样】！ 2⃣ 我们尽量在阐述的时候，分段，5分的名词解释分2段，10分的名词解释分3段，前面空2个格。 3⃣ 采分点的标志性的几个词， ...全文,0,0,0
31,6393431407,NksBvnXV3,小伍同学今天开心吗,2023-09-22 13:37:04,近日…湖南科技大学 湘潭·湖南科技大学 ,0,0,0
31,7870504628,NkrCaoZG6,用户7870504628,2023-09-22 11:05:57,湖南科技大学考研 求司南333题库 ,0,1,0
32,7832065187,NkrvcrJdB,壮zz_,2023-09-22 10:48:46,#湖南科技大学马理论# 出湖科大马理论真题资料 ,0,0,6
32,2240451483,NkrboDh6H,湖南科技大学微博协会,2023-09-22 10:00:00,#湖南科技大学微博协会超话# #早安湖科大# #湖南科技大学超话 #  早安，湖科大！ 渴望拥抱的理由很简单，我们是人，而心脏是一块敏感的肌肉。 —— 斯特凡松《鱼没有脚》 ,0,0,1
32,7859979126,Nkr7NapH9,用户7859979126,2023-09-22 09:51:06,湖南科技大学考研  寻找哲学的学姐学长 ,0,15,4
32,6611234185,NkqEwgKrB,Komorebi-wwpp,2023-09-22 08:39:00,湖南科技大学考研 本科会计学可以考学科思政嘛？ ,0,0,0
32,7295281068,Nkn2Ywc5J,大嘴小姜爱吃香菜,2023-09-21 23:28:16,🈶️1⃣️说1⃣️ 军训才艺表演还得看音乐学院呜呜呜 大家都好厉害 长眼睛啦！要是有手机拍视频就好噜湖南科技大学 ,0,0,0
32,5963447136,NkmT04vAU,-不吃香菜呀啊-,2023-09-21 23:03:41,湖南科技大学考研 学科化学限制专业  其他学科类也限制专业  但是其他学科类基本都允许有对应教师资格证的报考  学科物理也是允许的  好像就学科化学不行 ,0,4,8
32,7855892019,NkmEcvWzJ,Mfsizyl,2023-09-21 22:27:14,湖南科技大学考研想考湖科大的生物学，请问有没有学长学姐提供真题之类的资料，有偿 ,0,1,0
32,5977286767,NkmAp3Vr2,HEDIIIIII_,2023-09-21 22:17:52,单位的同事问我哪个大学毕业的 我说湖南科技大学 他们每个人都会哇一声 不知道在哇什么 怕不是想成国科大了 ,0,3,1
32,5326364276,NkmgGk9wZ,心理学今赞,2023-09-21 21:29:17,#微博开学季##决战考研##心理健康教育考研#  湖南科技大学2024年心理健康教育业务课二参考教材有变化，其中原《当代教育心理学》改为《发展心理学》（第3版， 林崇德）。目前业务课二参考教材仍为3本。 新增报考专业条件——前置专业：1哲学类、12管理学类 、0303社会学类、0401教育学类、0710生物科学 ...全文,0,0,2
32,5885539809,NklIPFzY1,易悠岚LKD,2023-09-21 20:05:54,湖南科技大学#青春运动日记##有氧运动怎么做才有效# 我的青春运动日记   要多去操场跑跑步 锻炼锻炼哦 ,0,0,3
33,6491857759,Nklq6rYTJ,naku膨大,2023-09-21 19:19:45,湖南科技大学想问一下学长学姐们，军训进伤病连有啥影响吗？或者进伤病连之后证明不过关会有影响吗？ ,0,3,4
33,1986888471,NkkwKFDjZ,长沙校园,2023-09-21 17:03:23,#独属湖南学子的新学期浪漫# 夜幕降临，由@湖南科技大学 带来的2023级开学第一课无人机编队表演，给予了新生独一无二的浪漫与震撼这样的整活谁不喜欢呢？#开学季# #开学攻略# 长沙校园的微博视频 ,22,37,233
33,7793037392,Nkkh7rNHW,MZLeader,2023-09-21 16:24:52,湖南科技大学跳舞的小姐姐在哪呢 ,0,0,9
33,6605721388,Nkcz1o0jg,教育学洪哥,2023-09-20 20:47:00,湖南科技大学发布了最新的招生简章 对报考进行了专业限制，但是只要你有教师证，你依旧可以考👇 ,0,20,38
33,5253010250,NkjO2nnuO,陈路周周摇尾巴,2023-09-21 15:13:13,湖南科技大学考研 出语文课程与教学论背诵资料 ,0,0,1
33,5554916627,Nkjkibj0M,TellSomething_2U,2023-09-21 13:59:56,还是觉得湖南科技大学才是我的学校 每次刷到都像想家一样想回去 中山大学很好 但我不属于这里 我像是误入天宫的孙猴子 所有人都比我厉害 一种强烈的不配得感时刻在作祟 ,0,1,0
34,6451904418,NkhFPCtXX,一航助你上岸,2023-09-21 09:47:31,学科语文考研 今年变化很大的一个学校，湖南科技大学学科语文2个变化，第一个变化是跨考有一些限制，目前只限制文学类、历史类、教育类或其他学科师范类专业，第二个变化就是教材变了，科大这个学校经常换教材，去年换倪文锦的版本，今年换王文彦的版本。不过一方学员别担心，科大新教材的课程 ...全文,0,0,0
34,7775892543,Nkhx5cOa4,lalayiib_,2023-09-21 09:25:57,湖南科技大学新传一志愿上岸，可答疑解惑啦，想要辅导的话也可以噢～ ,0,0,0
34,7872660201,Nkf51pD49,瓜瓜之路111,2023-09-21 03:11:20,#湖南科技大学#刚刚从瓜网看完奶姐 又大又白 不会还有人没看吧 ,0,3,0
34,6132032040,NkdJsA2Z6,-悄悄是心上的肖肖daytoy-,2023-09-20 23:45:28,湖南科技大学考研出马理论真题 不考了 ,0,5,5
35,7271512393,NkdbfxxWW,清念Justin,2023-09-20 22:21:11,湖南科技大学考研出学科数学资料 ,0,0,10
35,6484538937,Nkd47dIdm,休思xs,2023-09-20 22:03:36,给大家展示一下湖科大的炫酷无人机表演 #湖南科技大学# #开学第一课#  #无人机表演# 休思xs的微博视频 ,0,1,4
35,2240451483,Nkd2EqdIk,湖南科技大学微博协会,2023-09-20 22:00:00,#湖南科技大学微博协会超话# #早安湖科大# #湖南科技大学超话 #  早安，湖科大！ 别怕走错路 只要前行 哪里都是目的地 ,0,0,0
35,5626383122,Nkd1rbWTK,鱼池君,2023-09-20 21:57:00,湖南科技大学考研听说贵校的瓜甜 ,0,0,7
35,5657827712,NkcIEgBPI,我爱长沙520,2023-09-20 21:10:43,【氛围感拉满！#无人机灯光秀点亮开学第一课#】太宠了！9月18日，湖南湘潭。在湖南科技大学的新生开学第一课上，该校进行了无人机表演。表演内容不仅展示了学校的学科特色和办学成果，还有学校的地标建筑以及对新生的寄语和祝福。(湖南科技大学)#湖南大学2023开学季# 湖南的百晓生的微博视频 ,0,0,1
35,6283512369,NkcuwtwuK,说说屁话而已,2023-09-20 20:35:55,湖南科技大学考研  24招生简章出来了 基本上教育学类都限制跨考了 但是有相应教师资格可以考 ,0,6,7
35,6125001486,Nkcovhdo9,自明诚熊,2023-09-20 20:21:05,湖南科技大学庄子《列御寇 》之十五  故君子远使之而观其忠，近使之而观其敬，烦使之而观其能，卒然问焉而观其知，急与之期而观其信，委之以财而观其仁，告之以危而观其节，醉之以酒而观其侧，杂之以处而观其色。九征至，不肖人得矣。”  注释：①远使之而观其忠，近使之而观其敬：使之远离观 ...全文,0,0,2
35,6686947183,NkcbtpK5C,湖南的百晓生,2023-09-20 19:48:59,【氛围感拉满！#无人机灯光秀点亮开学第一课#】太宠了！9月18日，湖南湘潭。在湖南科技大学的新生开学第一课上，该校进行了无人机表演。表演内容不仅展示了学校的学科特色和办学成果，还有学校的地标建筑以及对新生的寄语和祝福。(湖南科技大学)#湖南大学2023开学季##开学季# 湖南的百晓生的微博视频 ,8,10,25
35,2617970297,NkbOntzbS,湖南教育电视台,2023-09-20 18:52:05,#2023年湖南高校秋季开学季# 【高校为42名新生办集体生日会】近日，一场别开生面的新生集体生日会正在湖南科技大学浪漫上演，学校为当天生日的42名学生准备了生日蛋糕和美味的自助餐，以及出生日当天的报纸，现场新生们通过寄明信片给4年后的自己，记住入学时的梦想与初心。 ...全文,0,1,3
36,6399236386,NkbyL4yFX,拍照的桃桃,2023-09-20 18:13:36,性格超级好的小姐姐，我的湘潭本地导游哈哈，我们还约好了去踩点新场景～ 出镜：77 湖南约拍#古风写真#湖南科技大学#湖南科技大学##湘潭约拍##清冷风# 湘潭 ,0,4,4
36,7345478981,Nkbjxfh6C,可爱迷人的墩墩的妈妈,2023-09-20 17:36:06,湖南科技大学考研招生简章多久发出来呀去年前年都是9.15，我就一直以为今年也是一样的时间，但前几天在小红书上看到今年是9.20，可是现在下午了还没有发出来，预报名之前能出来吗 我知道我很着急，有没有学姐学长能帮我解答一下呀~ ,0,8,0
36,6402432757,NkabFmCI0,是泥泥澄酱,2023-09-20 14:43:58,湖南科技大学考研  求司南333热点文集热点怎么学啊 ,0,0,0
36,6402432757,Nkabucjus,是泥泥澄酱,2023-09-20 14:43:31,湖南科技大学考研  再求一套司南背诵宝典，背书要背疯了啊啊啊啊啊 ,0,1,0
36,6402432757,NkabjuAoj,是泥泥澄酱,2023-09-20 14:43:06,湖南科技大学考研  求司南答题模板谁有吗 ,0,0,0
36,6402432757,NkabeqZ9t,是泥泥澄酱,2023-09-20 14:42:54,湖南科技大学考研  求求求司南材料题题库！！！ ,0,0,0
36,6402432757,NkaaQvYct,是泥泥澄酱,2023-09-20 14:41:57,湖南科技大学考研  求司南的选择题题库 ,0,0,0
36,7869070471,Nk9UX9I5t,用户7869070471,2023-09-20 14:02:47,湖南科技大学 24研究生招生简章啥时候出啊，比去年晚五天了 ,0,0,0
37,1459507082,Nk9qH2Owu,中华全国学联,2023-09-20 12:48:14,【太酷了！#无人机灯光秀点亮新生开学第一课#】近日，@湖南科技大学 无人机灯光秀璀璨绽放，为新学年的启航揭开序幕，编织出一幅幅绚烂的图画，展现了同学们的无限可能[你好]三湘都市报的微博视频 ,2,1,4
37,2126925453,NjZ3MoeUC,湖南科技大学,2023-09-19 10:24:19,#湖南科技大学灯光秀##开学第一课#  远如银河，近似烟火✨绚丽的灯光在夜空飞舞，似明似暗，似梦似幻[爱慕]不断变化的图案，展现着科大风采，给人以超强的视觉冲击让我们一同观赏昨夜科大上演的那场盛大的无人机灯光秀吧~ 湖南科技大学的微博视频 ,32,25,231
